1,AFAM VI (GAS/STEAM),265.00,265.00,265.00,265.00,265.00,264.00,264.00,264.00,0.00,258.00,258.00,256.00,256.00,237.00,237.00,237.00,237.00,237.00,240.00,260.00,260.00,260.00,260.00,0.00,"5,610.00"
2,AZURA-EDO IPP (GAS),432.00,431.00,432.00,425.00,435.00,435.00,439.00,435.00,433.00,423.00,423.00,419.00,406.00,414.00,406.00,414.00,417.00,411.00,424.00,427.00,427.00,428.00,424.00,430.00,"10,190.00"
3,DADINKOWA G.S (HYDRO),11.80,11.80,11.78,11.89,11.87,11.80,11.76,11.85,11.85,11.78,11.85,12.07,12.02,11.78,11.78,11.76,11.80,11.98,11.76,11.74,12.13,12.07,12.11,0.00,273.03
4,DELTA (GAS),344.00,343.00,346.00,345.00,343.00,343.00,344.00,331.00,325.00,0.00,337.00,316.00,334.00,321.00,309.00,307.00,314.00,333.00,333.00,331.00,335.00,332.00,423.00,427.00,"7,816.00"
5,EGBIN (STEAM),653.00,653.00,655.00,653.00,656.00,655.00,654.00,655.00,617.00,604.00,606.00,602.00,0.00,602.00,606.00,603.00,604.00,604.00,603.00,0.00,443.00,455.00,452.00,453.00,"13,088.00"
6,GEREGU (GAS),249.00,245.00,231.00,238.00,243.00,236.00,233.00,233.00,228.00,165.00,241.00,238.00,234.00,240.00,239.00,240.00,239.00,239.00,238.00,238.00,235.00,235.00,235.00,225.00,"5,617.00"
7,GEREGU NIPP (GAS),125.00,125.00,126.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,126.00,125.00,105.00,100.00,100.00,100.00,100.00,100.00,125.00,125.00,125.00,125.00,125.00,124.00,"2,856.00"
8,IBOM POWER (GAS),42.80,42.70,42.20,37.00,37.30,38.80,38.10,31.10,37.20,40.90,41.60,43.00,47.60,41.80,42.40,42.30,43.30,0.00,42.20,38.80,37.90,38.10,38.00,0.00,885.10
9,JEBBA (HYDRO),366.00,364.00,279.00,279.00,279.00,366.00,367.00,364.00,366.00,365.00,363.00,366.00,279.00,280.00,280.00,282.00,281.00,281.00,282.00,281.00,282.00,282.00,366.00,365.00,"7,665.00"
10,KAINJI (HYDRO),405.00,406.00,391.00,408.00,408.00,404.00,394.00,406.00,404.00,494.00,395.00,404.00,404.00,404.00,401.00,398.00,403.00,403.00,398.00,0.00,453.00,383.00,386.00,0.00,"8,952.00"
11,ODUKPANI NIPP (GAS),326.00,321.40,324.50,321.30,322.70,321.20,321.10,313.70,316.60,316.00,314.30,309.50,295.40,305.00,294.70,295.80,301.00,300.90,310.60,313.40,303.10,313.50,310.10,315.00,"7,486.80"
12,OKPAI (GAS/STEAM),332.00,347.00,0.00,0.00,0.00,337.00,310.00,352.00,330.00,318.00,303.00,342.00,336.00,316.00,0.00,0.00,339.00,336.00,319.00,313.00,264.00,338.00,344.00,331.00,"6,207.00"
13,OLORUNSOGO (GAS),85.20,85.70,85.90,85.90,85.20,86.00,85.00,84.90,85.40,84.90,84.20,84.20,84.80,84.60,85.40,84.70,84.80,84.40,84.30,80.00,74.40,75.40,75.40,75.30,"1,996.00"
14,OMOKU (GAS),73.10,73.70,73.10,74.40,74.60,74.50,75.30,74.00,73.60,73.70,71.50,71.50,69.40,69.80,70.10,71.50,71.30,71.00,72.60,71.60,69.00,68.90,70.40,71.10,"1,729.70"
15,OMOTOSHO (GAS),91.20,57.70,57.50,58.30,56.50,58.70,54.80,58.00,55.00,53.50,53.90,52.10,52.50,55.70,55.30,55.80,56.40,57.10,55.00,52.50,51.90,57.50,56.70,57.60,"1,371.20"
16,PARAS ENERGY (GAS),71.30,70.30,75.30,75.30,74.30,71.30,70.30,71.10,71.30,74.30,71.30,70.30,71.30,70.30,71.30,71.30,75.30,80.10,84.40,85.30,0.00,85.30,80.30,70.30,"1,711.60"
17,SAPELE (STEAM),102.30,104.20,106.70,104.00,0.00,103.90,104.10,102.20,100.40,99.20,99.80,100.30,94.80,96.70,92.30,97.00,100.40,100.00,100.60,101.70,101.80,101.60,98.50,101.20,"2,313.70"
18,SHIRORO (HYDRO),290.53,293.62,289.25,294.32,293.07,292.80,288.57,294.25,292.67,293.09,288.32,293.02,295.01,290.64,295.06,291.63,0.00,294.20,288.34,287.61,138.72,291.87,293.51,291.30,"6,561.40"
19,TRANS AFAM POWER,52.40,52.70,53.00,53.30,52.30,51.60,50.80,50.40,51.60,51.30,51.20,50.40,51.00,50.50,50.60,50.40,50.00,50.00,49.30,51.20,51.90,51.40,56.80,56.30,"1,240.40"
20,TRANS-AMADI (GAS),18.80,18.60,18.60,18.60,18.80,18.80,18.70,18.70,16.70,16.80,16.50,18.30,15.40,18.00,17.90,15.30,14.80,16.00,15.50,15.80,16.20,17.30,17.60,17.50,415.20
,,"4,336.43","4,311.42","3,862.83","3,872.31","3,780.64","4,294.40","4,248.53","4,275.20","3,940.32","3,867.47","4,156.47","4,172.69","3,443.23","4,008.82","3,664.84","3,668.49","3,743.10","4,009.68","4,076.60","3,084.65","3,681.05","3,950.94","4,124.42","3,410.60",
